method,replicate,true,mean,red_fac,ess,interval,ci_lower,ci_upper,ci_covered,hpd_lower,hpd_upper,hpd_covered,taxon,seed
ecoevolity,0,0.0014805199612179768,0.002183396016160101,0.9997912421809758,4000.0,0.95,0.00203566452724969,0.002340479486837405,False,0.002025004515611046,0.0023254296011334537,False,T2,seed37
starbeast,0,0.0018552147344961746,0.0016860255887260318,1.019783419614068,152.62404462713317,0.95,0.0004678205161405658,0.0035416321051539587,True,0.0003654642192930773,0.003194053282143703,True,root,seed37
starbeast,0,0.0009287609668974869,0.001521168187220978,0.9999393886817421,1514.2117319151755,0.95,0.0013156445648210262,0.0017497299824181676,False,0.001307525680473626,0.0017388061603151605,False,T1,seed37
starbeast,0,0.0014805199612179768,0.0021973570753353647,1.0000921179937214,1701.4176027346732,0.95,0.0019087914889236817,0.002508535386617551,False,0.001890553865559042,0.002488839665293525,False,T2,seed37
ecoevolity,0,0.001661217391512635,0.009363331692030312,0.9996501364908136,2313.316143675084,0.95,0.008563610226350988,0.01012830550272774,False,0.008590862716596363,0.010146623816633287,False,root,seed35
ecoevolity,0,0.0016857792408226846,0.002302545798599239,0.9999111104608652,1826.2449324077127,0.95,0.001904780616644948,0.002717083513506404,False,0.001911972152461102,0.002718499591206015,False,T1,seed35
ecoevolity,0,0.00045018343283781897,0.0005808458645904722,0.9995214937153948,2644.336266195336,0.95,0.000506955933559272,0.0006588699276174982,False,0.0005065160147646442,0.0006568044185993997,False,T2,seed35
starbeast,0,0.001661217391512635,0.006220486185149789,1.0008433343712273,1903.3596663664082,0.95,0.005235796093843813,0.007363911329570566,False,0.005186793578053826,0.007289832854374902,False,root,seed35
starbeast,0,0.0016857792408226846,0.003281536348555608,1.0003371350308885,2574.807574059262,0.95,0.002835629408487535,0.003784947584395899,False,0.002830155495513342,0.0037726343032974015,False,T1,seed35
starbeast,0,0.00045018343283781897,0.0006517131056298614,1.0049758663860695,747.5380901432927,0.95,0.0005452405524934494,0.0007747694380117049,False,0.0005396625361658672,0.0007662962939934088,False,T2,seed35
ecoevolity,0,0.0010425182728768514,0.002008243896353597,0.9997547341143256,3475.4776808115944,0.95,0.0006506514843777053,0.004105881339702657,True,0.0004428931095446008,0.003707286718255342,True,root,seed166
ecoevolity,0,0.0014252078699757205,0.002489583984490091,0.9996713402822524,3821.9044811916133,0.95,0.0023269943439543283,0.002653951449875202,False,0.0023229712582212643,0.002645935318838277,False,T1,seed166
ecoevolity,0,0.001959003467178277,0.004579609053791661,1.0005068255552656,3449.1154817074266,0.95,0.0043611222834815284,0.004805804092632106,False,0.0043549400301955464,0.0047930912221455365,False,T2,seed166
starbeast,0,0.0010425182728768514,0.0011524327486333115,1.005274530213174,272.05555785374787,0.95,0.0005074599792061071,0.0020672828245351764,True,0.00042198249091831517,0.0019307614232601067,True,root,seed166
starbeast,0,0.0014252078699757205,0.002387832189793721,1.0011897345232517,1953.6515585840798,0.95,0.0020863523638975073,0.0027217066485487073,False,0.0020695502183847095,0.002697195097974404,False,T1,seed166
