method,replicate,true,mean,red_fac,ess,interval,ci_lower,ci_upper,ci_covered,hpd_lower,hpd_upper,hpd_covered,seed
starbeast,0,0.09156945084731936,0.10816607692403267,1.0006309109076328,440.11325750174035,0.95,0.1058842654859634,0.11024261449342154,False,0.105935688245706,0.11026799437893804,False,seed177
ecoevolity,0,0.018927453824801533,0.010594007546808669,1.000057431006499,2733.186585831781,0.95,0.009207609328819344,0.01212064100915745,False,0.009116799792812809,0.012004424022401657,False,seed120
starbeast,0,0.018927453824801533,0.02499543613919036,1.0121924663903312,332.62845562053525,0.95,0.023800866207706863,0.02611325332707315,False,0.023875958357964425,0.02617641263512896,False,seed120
ecoevolity,0,0.09173797937025016,0.11347526025119267,1.0003619755087432,3482.7111366660242,0.95,0.11078959299528686,0.11589124763478455,False,0.11075915609757143,0.11581260601312365,False,seed5
starbeast,0,0.09173797937025016,0.11357192543216495,1.0000621689941378,752.485841528912,0.95,0.11137010158664508,0.11571071243569968,False,0.11137010158664508,0.11571003694944686,False,seed5
ecoevolity,0,0.01751140034612074,0.038027031401700384,1.00068495391146,4000.0,0.95,0.03575781407238676,0.03971401219697344,False,0.03601050153487596,0.039897640667800285,False,seed18
starbeast,0,0.01751140034612074,0.034795174245721566,1.0000146975000301,1036.5869732118742,0.95,0.033003543211606284,0.03639893116953122,False,0.033075812515689834,0.03644564781836947,False,seed18
ecoevolity,0,0.09905349055197846,0.12991081940757382,1.0002967351098422,3118.635190810452,0.95,0.12697239953289993,0.13244866887725934,False,0.12721242667423774,0.13263636862282396,False,seed183
starbeast,0,0.09905349055197846,0.1300264765289602,0.9999572363502192,622.282427569119,0.95,0.127532424828125,0.1324083296432348,False,0.12754635596664676,0.13240942306190115,False,seed183
ecoevolity,0,0.0563677240340708,0.07746293697123133,0.9998741766385492,3215.2567571665763,0.95,0.07487612879250886,0.07955548786303981,False,0.07509620384355517,0.07968143545029234,False,seed171
starbeast,0,0.0563677240340708,0.07822788868836254,1.0014293021763974,515.6016868475203,0.95,0.0764123050069641,0.07995440467669204,False,0.07637627881789345,0.07989025154288497,False,seed171
ecoevolity,0,0.03449274823385446,0.04732773599308055,0.9999826620555736,3437.863645283579,0.95,0.045087291285318534,0.04904024705517517,False,0.04529190381780044,0.04917838782549811,False,seed136
starbeast,0,0.03449274823385446,0.04719969381025384,1.000128751396541,289.5777109766657,0.95,0.045428242841622,0.04884057737773742,False,0.0454663655979743,0.04886531555705122,False,seed136
ecoevolity,0,0.017933659889129004,0.035194216475227164,0.9997368648606594,4000.0,0.95,0.032932391797419566,0.03687732135197792,False,0.0332724937376891,0.03711137592805292,False,seed195
starbeast,0,0.017933659889129004,0.03460338402642736,1.0050436866453794,453.0381397991339,0.95,0.0330928943346318,0.03616793603623454,False,0.033050694496074125,0.036094939352306295,False,seed195
ecoevolity,0,0.034088919298680506,0.044150781852212974,0.9995467240438912,3901.129883777191,0.95,0.041835493978835264,0.045849925795478,False,0.04182999713975803,0.04582939051141605,False,seed187
starbeast,0,0.034088919298680506,0.044984363273341516,1.013198420105149,412.7113799277131,0.95,0.04368930603685623,0.046214456835665024,False,0.04365341371322291,0.04616996073623841,False,seed187
ecoevolity,0,0.0015824294734419007,0.002385387015422717,0.9995798825559452,4000.0,0.95,0.00211244006143535,0.002664742426634493,False,0.0021101821153772737,0.002656010179314591,False,seed113
starbeast,0,0.0015824294734419007,0.0019378902187040855,1.0003741607099126,744.141233086661,0.95,0.0017216581295198612,0.0021557218083973423,False,0.0017112527177200224,0.0021415140481598686,False,seed113
ecoevolity,0,0.029001462554245436,0.038141181376627406,1.0003121452343366,4000.0,0.95,0.03577644487931534,0.039854111966783186,False,0.036078786812958716,0.04002112365989918,False,seed91
starbeast,0,0.029001462554245436,0.038318011310650935,1.0001996174006358,380.64982768331237,0.95,0.03684775689831248,0.03968148604836261,False,0.03691100287459949,0.03973391077025469,False,seed91
ecoevolity,0,0.05586476668216014,0.0683283847658426,0.9999099127813268,3480.0762944455564,0.95,0.06591517817937008,0.07027933478613474,False,0.06602257054795109,0.07034684881767983,False,seed81
starbeast,0,0.05586476668216014,0.06909703224237565,0.9998735979301091,425.934960648784,0.95,0.06744320121557804,0.0706702743133913,False,0.0674572916398716,0.0706749068885438,False,seed81
ecoevolity,0,0.020061573037944,0.02861947053675893,0.9995737056888496,4000.0,0.95,0.026372307455156653,0.030242956472951117,False,0.02656935464209572,0.030323433594179595,False,seed121
starbeast,0,0.020061573037944,0.02830972706866331,1.0000222057694617,625.8679906861762,0.95,0.027053273056418158,0.02956656600899577,False,0.02704845098698745,0.02954645730746673,False,seed121
ecoevolity,0,0.01184448091345507,0.017433010473369006,0.9999963827131272,3613.593821541971,0.95,0.01536902229064015,0.01898690240496743,False,0.015666057466059438,0.019148060058195488,False,seed28
starbeast,0,0.01184448091345507,0.01814877409156184,1.0169603142398118,328.7782785738755,0.95,0.017201457738013178,0.019062339115608857,False,0.017197138429819066,0.01905242806758331,False,seed28
ecoevolity,0,0.04131321465885481,0.059777988593811886,1.0000067201519498,3848.884709385111,0.95,0.05737501770089527,0.061682956796271324,False,0.057498509331691885,0.06175489810226732,False,seed123
starbeast,0,0.04131321465885481,0.060124595333178224,1.0025177258556943,460.3742493406742,0.95,0.058538230847035765,0.06164676382614481,False,0.058646380733587376,0.061734562579674114,False,seed123
ecoevolity,0,0.1069920354957213,0.13340149191976813,1.000312286896195,4000.0,0.95,0.13045504292583215,0.13598509861255045,False,0.13048811582001038,0.13599801519973656,False,seed165
