method,replicate,true,mean,red_fac,ess,interval,ci_lower,ci_upper,ci_covered,hpd_lower,hpd_upper,hpd_covered,taxon,seed
ecoevolity,0,0.0018552147344961746,0.002007240343367031,1.0011424821825252,3618.1781613283533,0.95,0.0006602008749125131,0.0041177667299934825,True,0.0005305174903237616,0.0037397138993050015,True,root,seed37
ecoevolity,0,0.0009287609668974869,0.0007160350094250838,0.9997057286439338,4000.0,0.95,0.0006320338753262039,0.000805977566168107,False,0.0006268381692455979,0.0007998378997729887,False,T1,seed37
ecoevolity,0,0.0014805199612179768,0.001142877030638036,0.9997378746339128,3923.3675548955457,0.95,0.0010393294393068095,0.0012517636391092288,False,0.0010346181440419981,0.0012456787284548171,False,T2,seed37
starbeast,0,0.0018552147344961746,0.0014750385133465262,1.014045765642429,186.13346003305733,0.95,0.0005006970287856073,0.002907053972187418,True,0.00039563792244238973,0.002643127366985202,True,root,seed37
starbeast,0,0.0009287609668974869,0.0007462357941435414,1.001779722924131,643.6487511256768,0.95,0.0006284849389783241,0.0008795320829480549,False,0.0006245866166333298,0.0008728359490274947,False,T1,seed37
starbeast,0,0.0014805199612179768,0.0011650934480857494,0.999868643261532,1030.8502522560063,0.95,0.0009995372289230255,0.001354661896795567,False,0.0009940821345611145,0.0013466692053441091,False,T2,seed37
ecoevolity,0,0.001661217391512635,0.0005721723039810735,0.9998094991569052,4000.0,0.95,0.0002611193188830937,0.0008838715385599107,False,0.0002444598528912212,0.0008616377270883494,False,root,seed35
ecoevolity,0,0.0016857792408226846,0.0003310956566641441,0.9998010923623646,3741.3364758441053,0.95,0.0002542894581709628,0.00040619568533676014,False,0.00025453165403441035,0.00040619568533676014,False,T1,seed35
ecoevolity,0,0.00045018343283781897,0.00011463073427098796,0.9998111683179444,3097.267673740245,0.95,8.447474366717055e-05,0.0001501618512360215,False,8.377526845335555e-05,0.0001490001947804174,False,T2,seed35
starbeast,0,0.001661217391512635,0.00021973527365034968,1.0095324056613668,240.10507562871425,0.95,8.979025215552128e-05,0.00039676225849156425,False,8.204754346238387e-05,0.0003815109415786127,False,root,seed35
starbeast,0,0.0016857792408226846,0.00038326363108561465,0.9998684846666936,632.058595643481,0.95,0.00030370731831118797,0.0004756717345473789,False,0.00030311929743465,0.0004744524306195826,False,T1,seed35
starbeast,0,0.00045018343283781897,0.00012163937022914895,1.0048865300903245,287.09092392414004,0.95,8.690771767357919e-05,0.00016401855857029284,False,8.62183832979524e-05,0.00016252452533137187,False,T2,seed35
ecoevolity,0,0.0010425182728768514,0.0020054658250244018,0.9997445229708668,3380.088230774978,0.95,0.000655256208971788,0.0040534777987375,True,0.0004757933009191704,0.003718010850084586,True,root,seed166
ecoevolity,0,0.0014252078699757205,0.0006035900344164866,0.9997446761486966,4000.0,0.95,0.0005269178207164141,0.0006857495669133385,False,0.0005253698556173063,0.0006832561914931254,False,T1,seed166
ecoevolity,0,0.001959003467178277,0.0008360939133673232,1.0004691718615546,3497.2160208800287,0.95,0.0007450064788661055,0.0009324828184125828,False,0.0007488528401822197,0.0009348603540223082,False,T2,seed166
starbeast,0,0.0010425182728768514,0.0006922711703543943,1.0149168686722934,283.30196223388714,0.95,0.00027889419589004785,0.0012733888278145685,True,0.0002368930428094424,0.0011930902636101651,True,root,seed166
