method,replicate,true,mean,red_fac,ess,interval,ci_lower,ci_upper,ci_covered,hpd_lower,hpd_upper,hpd_covered,seed
starbeast,0,0.0838284119021204,0.06573327783043849,1.0166059590522143,497.50470879076335,0.95,0.06415479624125628,0.06724472563936404,False,0.06414223634840492,0.06721353619686986,False,seed138
ecoevolity,0,0.039413187667684334,0.027676517068116288,1.000342380119848,3870.581992901485,0.95,0.025365072532232084,0.02931905600622308,False,0.025701321379661232,0.029526632818151686,False,seed42
starbeast,0,0.039413187667684334,0.02896954474024615,1.0026413949734287,583.9581052605236,0.95,0.02798006209139946,0.029900107194951932,False,0.027977177676067163,0.029891168346606725,False,seed42
ecoevolity,0,0.05328545085319967,0.03869479421819152,1.0001144931121595,4000.0,0.95,0.03645984194298868,0.04043676153908205,False,0.03664062136709024,0.04060815959442683,False,seed78
starbeast,0,0.05328545085319967,0.03971598301508456,1.0085531481955026,635.7048071675714,0.95,0.03853498054008276,0.04081985921923454,False,0.03857170427993867,0.04084907084538236,False,seed78
ecoevolity,0,0.03929828050097308,0.027437312429911133,1.0004339929759822,4000.0,0.95,0.025244129682605584,0.02903370607452472,False,0.02555532393820444,0.029223063565735837,False,seed110
starbeast,0,0.03929828050097308,0.028633918350255968,1.000160630700339,659.2830714489393,0.95,0.027644250107632,0.029593068384744826,False,0.02763234138256389,0.0295775460002544,False,seed110
ecoevolity,0,0.032432966431140395,0.021890279944796046,1.0000188994596917,4000.0,0.95,0.01973948169967789,0.023459293260040016,False,0.020035641429297,0.02362479722476984,False,seed26
starbeast,0,0.032432966431140395,0.02319987917067951,1.0015558315986537,750.3957338051376,0.95,0.02231069888191893,0.024041187860919657,False,0.022365250911202082,0.02408959483221453,False,seed26
ecoevolity,0,0.01630565965821109,0.008525207827552216,1.0009568844778032,2887.857704375047,0.95,0.0064736779967106495,0.009992176466541613,False,0.0067120470043552346,0.010132514991015187,False,seed17
starbeast,0,0.01630565965821109,0.010007020233975912,1.0080302931584872,878.6386122911663,0.95,0.009450677872505734,0.010549221975903578,False,0.009461922672176498,0.010553775706089015,False,seed17
ecoevolity,0,0.10171612731171928,0.08113905520163335,0.9997066006434446,4000.0,0.95,0.07864340366063531,0.08325900173932932,False,0.07874945504836303,0.08330007831398861,False,seed13
starbeast,0,0.10171612731171928,0.08196676770282968,0.9999515591358212,653.0646360971139,0.95,0.0802283420498529,0.0836550110067773,False,0.08022224492982337,0.08364504226423877,False,seed13
ecoevolity,0,0.018217104306664383,0.01082467345166906,1.0003027251043912,3852.530674337068,0.95,0.008689713525956818,0.012259038222486994,False,0.008932725573391297,0.012391256020360291,False,seed94
starbeast,0,0.018217104306664383,0.012160312268235936,0.9998747399340272,420.4236702879146,0.95,0.011493422104071959,0.01278246288039423,False,0.011524452982801369,0.012804702210055356,False,seed94
ecoevolity,0,0.001455301248590493,0.0005116891071156341,1.0005457433963347,4000.0,0.95,0.00038706594409544686,0.0006425000378811451,False,0.000391706620021793,0.0006445137485083793,False,seed95
starbeast,0,0.001455301248590493,0.0005711997828817488,1.0052154401930788,265.82383927823213,0.95,0.000462038558951183,0.0006879728542001028,False,0.0004559055257891338,0.0006801114555562799,False,seed95
ecoevolity,0,0.009507962927024759,0.004628531109838827,1.0004198433976106,2736.254553324463,0.95,0.0033116973571743072,0.0057452140233671825,False,0.0034228900834295264,0.005815984382006707,False,seed185
starbeast,0,0.009507962927024759,0.0058305401620588546,1.0000088974082595,391.617750042488,0.95,0.005365203547963929,0.006267731082066926,False,0.005377305654333082,0.006274923061613415,False,seed185
ecoevolity,0,0.04860148045762398,0.03367343867907662,0.9999199554950357,3938.713851032976,0.95,0.031442326220354734,0.035369574812470515,False,0.03157536556172204,0.035463271284525186,False,seed59
